type,fraction,run,accuracy,thinking_length,non_thinking_length,problem_id
original,0.0,0,100.0,5478,1253,1983-1
original,0.0,0,100.0,10438,1461,1983-2
original,0.0,0,100.0,10514,1269,1983-3
original,0.0,0,100.0,33153,1458,1983-4
original,0.0,0,100.0,6948,1359,1983-5
original,0.0,0,100.0,6714,970,1983-6
original,0.0,0,100.0,22103,1438,1983-7
original,0.0,0,100.0,10856,2651,1983-8
original,0.0,0,100.0,24668,1033,1983-9
original,0.0,0,100.0,44743,1374,1983-10
original,0.0,0,100.0,46443,1685,1983-11
original,0.0,0,100.0,7208,1654,1983-12
original,0.0,0,100.0,39486,957,1983-13
original,0.0,0,0.0,40745,0,1983-14
original,0.0,0,0.0,44602,0,1983-15
original,0.0,0,100.0,37004,1652,1984-1
original,0.0,0,100.0,7587,1055,1984-2
original,0.0,0,100.0,14455,1592,1984-3
original,0.0,0,100.0,10455,1300,1984-4
original,0.0,0,100.0,5075,1415,1984-5
original,0.0,0,0.0,49609,0,1984-6
original,0.0,0,100.0,7592,1316,1984-7
original,0.0,0,0.0,42573,0,1984-8
original,0.0,0,100.0,17186,1117,1984-9
original,0.0,0,0.0,41757,0,1984-10
original,0.0,0,100.0,8772,1452,1984-11
original,0.0,0,0.0,36578,1181,1984-12
original,0.0,0,100.0,9779,0,1984-13
original,0.0,0,100.0,13908,957,1984-14
original,0.0,0,100.0,15505,1713,1985-1
original,0.0,0,100.0,4360,1275,1985-2
original,0.0,0,100.0,5236,1285,1985-3
original,0.0,0,0.0,38626,0,1985-4
original,0.0,0,100.0,14641,1639,1985-5
original,0.0,0,0.0,52674,0,1985-6
original,0.0,0,100.0,4858,977,1985-7
original,0.0,0,0.0,11891,968,1985-8
original,0.0,0,100.0,7612,1836,1985-9
original,0.0,0,0.0,22704,1760,1985-10
original,0.0,0,100.0,8056,1717,1985-11
original,0.0,0,100.0,20118,1197,1985-12
original,0.0,0,100.0,6066,1486,1985-13
original,0.0,0,100.0,21366,1987,1985-14
original,0.0,0,0.0,39867,1083,1985-15
original,0.0,0,100.0,4453,659,1986-1
original,0.0,0,100.0,13029,1282,1986-2
original,0.0,0,100.0,4789,681,1986-3
original,0.0,0,100.0,6396,1191,1986-5
original,0.0,0,100.0,7333,1190,1986-6
original,0.0,0,100.0,5354,1043,1986-7
original,0.0,0,100.0,7872,1349,1986-8
original,0.0,0,0.0,21143,1490,1986-9
original,0.0,0,100.0,28271,1620,1986-10
original,0.0,0,0.0,39197,0,1986-11
original,0.0,0,0.0,41415,0,1986-12
original,0.0,0,0.0,60428,0,1986-13
original,0.0,0,100.0,16349,2035,1986-14
original,0.0,0,0.0,37007,0,1986-15
original,0.0,0,100.0,7001,1217,1987-1
original,0.0,0,100.0,3902,968,1987-2
original,0.0,0,100.0,18939,1134,1987-3
original,0.0,0,100.0,10359,1595,1987-4
original,0.0,0,100.0,4250,1105,1987-5
original,0.0,0,0.0,47127,0,1987-6
original,0.0,0,100.0,11503,1517,1987-7
original,0.0,0,0.0,42469,0,1987-8
original,0.0,0,100.0,9299,1331,1987-9
original,0.0,0,100.0,11536,1238,1987-10
original,0.0,0,100.0,14995,1399,1987-11
original,0.0,0,100.0,16629,1563,1987-12
original,0.0,0,0.0,20236,1698,1987-14
original,0.0,0,0.0,46120,0,1987-15
original,0.0,0,100.0,6077,1752,1988-2
original,0.0,0,100.0,4122,994,1988-3
original,0.0,0,100.0,4138,1174,1988-5
original,0.0,0,100.0,24165,1658,1988-7
original,0.0,0,0.0,35251,0,1988-8
original,0.0,0,100.0,11177,1931,1988-9
