type,fraction,run,accuracy,thinking_length,non_thinking_length,problem_id
original,0.0,0,100.0,4670,1516,1983-1
original,0.0,0,100.0,7180,920,1983-2
original,0.0,0,100.0,6883,1432,1983-3
original,0.0,0,100.0,22605,1960,1983-4
original,0.0,0,100.0,13518,1227,1983-5
original,0.0,0,100.0,7577,1162,1983-6
original,0.0,0,100.0,28119,1398,1983-7
original,0.0,0,100.0,6935,2583,1983-8
original,0.0,0,100.0,8226,1284,1983-9
original,0.0,0,0.0,53583,808,1983-10
original,0.0,0,0.0,44478,1687,1983-11
original,0.0,0,100.0,15510,1588,1983-12
original,0.0,0,100.0,19234,1323,1983-13
original,0.0,0,100.0,24723,1571,1983-14
original,0.0,0,0.0,22428,1722,1983-15
original,0.0,0,100.0,9571,1386,1984-1
original,0.0,0,100.0,9872,1133,1984-2
original,0.0,0,100.0,22355,1240,1984-3
original,0.0,0,100.0,8630,1106,1984-4
original,0.0,0,100.0,4169,1252,1984-5
original,0.0,0,100.0,13446,1552,1984-6
original,0.0,0,0.0,34728,0,1984-7
original,0.0,0,100.0,22628,1381,1984-8
original,0.0,0,0.0,42592,0,1984-9
original,0.0,0,0.0,37635,1294,1984-10
original,0.0,0,100.0,8910,1509,1984-11
original,0.0,0,0.0,31829,1293,1984-12
original,0.0,0,100.0,6894,1211,1984-13
original,0.0,0,100.0,16569,1925,1984-14
original,0.0,0,100.0,9455,1214,1985-1
original,0.0,0,100.0,3667,1586,1985-2
original,0.0,0,100.0,11674,1435,1985-3
original,0.0,0,0.0,38026,0,1985-4
original,0.0,0,100.0,9494,1651,1985-5
original,0.0,0,100.0,31510,1761,1985-6
original,0.0,0,100.0,3690,989,1985-7
original,0.0,0,100.0,10198,1348,1985-8
original,0.0,0,100.0,4517,1532,1985-9
original,0.0,0,0.0,36747,0,1985-10
original,0.0,0,0.0,12703,1171,1985-11
original,0.0,0,100.0,12297,1622,1985-12
original,0.0,0,100.0,7778,1526,1985-13
original,0.0,0,100.0,12558,1913,1985-14
original,0.0,0,0.0,58180,0,1985-15
original,0.0,0,100.0,4669,688,1986-1
original,0.0,0,100.0,6024,1012,1986-2
original,0.0,0,100.0,3015,936,1986-3
original,0.0,0,100.0,5835,1208,1986-5
original,0.0,0,100.0,7644,1258,1986-6
original,0.0,0,100.0,19380,983,1986-7
original,0.0,0,100.0,5144,1267,1986-8
original,0.0,0,0.0,14189,1423,1986-9
original,0.0,0,100.0,6162,1688,1986-10
original,0.0,0,100.0,22473,1150,1986-11
original,0.0,0,0.0,41105,0,1986-12
original,0.0,0,0.0,18261,1648,1986-13
original,0.0,0,100.0,20030,1888,1986-14
original,0.0,0,0.0,36271,0,1986-15
original,0.0,0,100.0,6801,1302,1987-1
original,0.0,0,100.0,33632,1157,1987-2
original,0.0,0,0.0,12400,1270,1987-3
original,0.0,0,100.0,11616,1625,1987-4
original,0.0,0,100.0,7476,1405,1987-5
original,0.0,0,0.0,44719,1505,1987-6
original,0.0,0,100.0,15608,1595,1987-7
original,0.0,0,0.0,38126,0,1987-8
original,0.0,0,100.0,16545,1613,1987-9
original,0.0,0,100.0,7628,1641,1987-10
original,0.0,0,100.0,9113,1403,1987-11
original,0.0,0,100.0,9331,1275,1987-12
original,0.0,0,100.0,20199,1974,1987-14
original,0.0,0,0.0,54126,0,1987-15
original,0.0,0,100.0,9282,1655,1988-2
original,0.0,0,100.0,5662,1254,1988-3
original,0.0,0,100.0,3183,1136,1988-5
original,0.0,0,100.0,9758,1729,1988-7
original,0.0,0,100.0,21872,831,1988-8
original,0.0,0,100.0,9335,1267,1988-9
original,0.0,0,100.0,6323,1797,1988-10
original,0.0,0,100.0,13609,1666,1988-13
original,0.0,0,100.0,20113,1530,1988-14
original,0.0,0,0.0,40106,1541,1988-15
original,0.0,0,100.0,10274,736,1989-1
original,0.0,0,100.0,6398,958,1989-2
original,0.0,0,100.0,20056,1734,1989-4
original,0.0,0,100.0,3808,1532,1989-5
original,0.0,0,100.0,7006,1920,1989-7
original,0.0,0,100.0,7237,1278,1989-8
original,0.0,0,100.0,10785,1333,1989-9
original,0.0,0,100.0,31777,1983,1989-11
original,0.0,0,0.0,43866,1547,1989-13
original,0.0,0,100.0,15967,1460,1990-1
original,0.0,0,100.0,24070,1083,1990-2
original,0.0,0,0.0,23701,1423,1990-3
original,0.0,0,100.0,12348,1645,1990-5
original,0.0,0,100.0,6669,1015,1990-6
original,0.0,0,100.0,8030,1646,1990-7
original,0.0,0,100.0,6074,1458,1990-9
original,0.0,0,0.0,48547,0,1990-10
original,0.0,0,0.0,34357,0,1990-11
original,0.0,0,100.0,19415,1589,1990-13
original,0.0,0,0.0,48949,0,1990-14
original,0.0,0,100.0,5658,1180,1990-15
original,0.0,0,100.0,6789,1482,1991-1
original,0.0,0,100.0,18061,1667,1991-2
original,0.0,0,0.0,29155,1661,1991-4
original,0.0,0,100.0,8884,1204,1991-5
original,0.0,0,100.0,7514,1415,1991-8
original,0.0,0,100.0,43779,0,1991-9
original,0.0,0,0.0,40947,0,1991-10
original,0.0,0,100.0,15410,1862,1991-11
original,0.0,0,100.0,12893,1693,1991-12
original,0.0,0,100.0,8151,1374,1991-13
original,0.0,0,100.0,16383,2164,1991-14
original,0.0,0,100.0,45351,557,1992-1
original,0.0,0,100.0,5567,908,1992-2
original,0.0,0,100.0,30520,1482,1992-3
original,0.0,0,100.0,4246,1261,1992-4
original,0.0,0,0.0,45769,0,1992-5
original,0.0,0,0.0,44335,0,1992-6
original,0.0,0,100.0,18969,1055,1992-7
original,0.0,0,100.0,33496,1457,1992-8
original,0.0,0,100.0,11805,1262,1992-9
original,0.0,0,100.0,19954,1727,1992-10
original,0.0,0,100.0,10762,1776,1992-11
original,0.0,0,100.0,48646,370,1992-12
original,0.0,0,100.0,26633,1704,1992-13
original,0.0,0,100.0,9031,628,1992-14
original,0.0,0,100.0,28137,1749,1992-15
original,0.0,0,100.0,13645,1401,1993-1
original,0.0,0,0.0,8274,2280,1993-2
original,0.0,0,100.0,10845,1777,1993-4
original,0.0,0,0.0,17078,1285,1993-5
original,0.0,0,100.0,19062,1460,1993-6
original,0.0,0,100.0,30630,1285,1993-7
original,0.0,0,100.0,34436,1278,1993-8
original,0.0,0,0.0,25274,2024,1993-9
original,0.0,0,100.0,13424,1329,1993-10
original,0.0,0,0.0,28082,1901,1993-11
original,0.0,0,0.0,38219,0,1993-12
original,0.0,0,0.0,52812,0,1993-13
original,0.0,0,0.0,44417,0,1993-14
original,0.0,0,0.0,39417,0,1993-15
original,0.0,0,100.0,30319,1536,1994-1
original,0.0,0,0.0,50237,0,1994-2
original,0.0,0,100.0,6772,2179,1994-8
original,0.0,0,0.0,53785,0,1994-9
original,0.0,0,100.0,9589,1393,1994-10
original,0.0,0,0.0,44314,0,1994-11
original,0.0,0,0.0,20607,1375,1994-12
original,0.0,0,0.0,60956,0,1994-14
original,0.0,0,0.0,52770,0,1994-15
original,0.0,0,0.0,24474,1422,1995-1
original,0.0,0,0.0,6829,1241,1995-2
original,0.0,0,0.0,43145,0,1995-3
original,0.0,0,100.0,17678,1851,1995-4
original,0.0,0,100.0,10182,1292,1995-5
original,0.0,0,100.0,19784,1303,1995-6
original,0.0,0,100.0,13485,1509,1995-8
original,0.0,0,100.0,28882,1554,1995-9
original,0.0,0,0.0,17173,3247,1995-10
original,0.0,0,0.0,50091,0,1995-11
original,0.0,0,100.0,21307,1707,1995-12
original,0.0,0,100.0,7995,1429,1995-13
original,0.0,0,0.0,46649,2002,1995-14
original,0.0,0,100.0,16546,1865,1995-15
original,0.0,0,100.0,8477,1212,1996-2
original,0.0,0,100.0,8219,1174,1996-3
original,0.0,0,100.0,28395,1073,1996-4
original,0.0,0,100.0,15547,721,1996-5
original,0.0,0,0.0,9499,1456,1996-6
original,0.0,0,100.0,18757,1198,1996-7
original,0.0,0,0.0,42918,0,1996-8
original,0.0,0,0.0,17341,713,1996-9
original,0.0,0,100.0,5999,1739,1996-10
original,0.0,0,100.0,17238,1220,1996-11
original,0.0,0,100.0,10190,1625,1996-12
original,0.0,0,0.0,30021,1662,1996-13
original,0.0,0,100.0,6629,738,1996-14
original,0.0,0,0.0,39400,0,1996-15
original,0.0,0,100.0,13054,1302,1997-1
original,0.0,0,100.0,5310,1650,1997-2
original,0.0,0,100.0,6497,1153,1997-3
original,0.0,0,100.0,31364,1982,1997-4
original,0.0,0,100.0,20745,1330,1997-5
original,0.0,0,0.0,42125,0,1997-6
original,0.0,0,100.0,11811,1564,1997-7
original,0.0,0,100.0,33889,1229,1997-8
original,0.0,0,100.0,10989,1450,1997-9
original,0.0,0,100.0,28724,858,1997-10
original,0.0,0,100.0,7481,1567,1997-11
original,0.0,0,100.0,12610,1547,1997-12
original,0.0,0,100.0,12963,1763,1997-14
original,0.0,0,0.0,43553,0,1997-15
original,0.0,0,0.0,7630,1125,1998-1
original,0.0,0,100.0,15338,1547,1998-2
original,0.0,0,100.0,36523,1699,1998-3
original,0.0,0,0.0,27325,1591,1998-4
original,0.0,0,100.0,11357,1208,1998-5
original,0.0,0,100.0,23154,1197,1998-6
injection,0.1,1,100.0,4590,1468,1983-1
injection,0.1,1,100.0,6858,1128,1983-2
injection,0.1,1,100.0,11909,544,1983-3
injection,0.1,1,100.0,3411,1751,1983-4
injection,0.1,1,100.0,6895,1422,1983-5
injection,0.1,1,100.0,5426,1029,1983-6
injection,0.1,1,100.0,12999,1159,1983-7
injection,0.1,1,100.0,14788,1833,1983-8
injection,0.1,1,100.0,3309,0,1983-9
injection,0.1,1,0.0,37829,38,1983-10
injection,0.1,1,0.0,28236,1189,1983-11
injection,0.1,1,100.0,4739,1648,1983-12
injection,0.1,1,100.0,21810,1822,1983-13
injection,0.1,1,100.0,21010,1082,1983-14
injection,0.1,1,0.0,43578,0,1983-15
injection,0.1,1,100.0,10774,1509,1984-1
injection,0.1,1,100.0,5142,1183,1984-2
injection,0.1,1,100.0,9716,1215,1984-3
injection,0.1,1,100.0,2413,1047,1984-4
injection,0.1,1,100.0,4967,1401,1984-5
injection,0.1,1,0.0,48718,0,1984-6
injection,0.1,1,100.0,5937,543,1984-7
injection,0.1,1,100.0,3862,1146,1984-8
injection,0.1,1,100.0,16227,1333,1984-9
injection,0.1,1,0.0,14323,1143,1984-10
injection,0.1,1,100.0,8056,1429,1984-11
injection,0.1,1,0.0,50012,0,1984-12
injection,0.1,1,100.0,4241,1639,1984-13
injection,0.1,1,0.0,28142,1220,1984-14
injection,0.1,1,100.0,13724,208,1985-1
injection,0.1,1,100.0,2269,1280,1985-2
injection,0.1,1,100.0,6243,1306,1985-3
injection,0.1,1,0.0,36199,0,1985-4
injection,0.1,1,100.0,4419,1230,1985-5
injection,0.1,1,0.0,37037,2441,1985-6
injection,0.1,1,100.0,6625,931,1985-7
injection,0.1,1,100.0,8622,1032,1985-8
injection,0.1,1,0.0,25620,1849,1985-9
injection,0.1,1,0.0,38525,0,1985-10
injection,0.1,1,0.0,44413,0,1985-11
injection,0.1,1,100.0,9451,1958,1985-12
injection,0.1,1,100.0,7768,1455,1985-13
injection,0.1,1,100.0,28530,2448,1985-14
injection,0.1,1,0.0,21200,1909,1985-15
injection,0.1,1,100.0,4103,592,1986-1
injection,0.1,1,100.0,6000,116,1986-2
injection,0.1,1,100.0,1627,755,1986-3
injection,0.1,1,100.0,5187,1379,1986-5
injection,0.1,1,100.0,564,0,1986-6
injection,0.1,1,100.0,10150,847,1986-7
injection,0.1,1,100.0,750,0,1986-8
injection,0.1,1,100.0,15807,2217,1986-9
injection,0.1,1,100.0,11620,1356,1986-10
injection,0.1,1,100.0,1137,0,1986-11
injection,0.1,1,0.0,41925,0,1986-12
injection,0.1,1,0.0,48108,0,1986-13
injection,0.1,1,100.0,18716,2173,1986-14
injection,0.1,1,0.0,37296,0,1986-15
injection,0.1,1,100.0,3957,1189,1987-1
injection,0.1,1,100.0,16339,972,1987-2
injection,0.1,1,100.0,6423,175,1987-3
injection,0.1,1,100.0,11068,1761,1987-4
injection,0.1,1,100.0,1973,0,1987-5
injection,0.1,1,0.0,11727,1710,1987-6
injection,0.1,1,100.0,19368,1548,1987-7
injection,0.1,1,100.0,30351,1191,1987-8
injection,0.1,1,100.0,9374,1568,1987-9
injection,0.1,1,100.0,7875,1701,1987-10
injection,0.1,1,100.0,18642,1848,1987-11
injection,0.1,1,100.0,12906,1162,1987-12
injection,0.1,1,100.0,15150,1887,1987-14
injection,0.1,1,0.0,41269,828,1987-15
injection,0.1,1,100.0,16731,1664,1988-2
injection,0.1,1,100.0,3579,1137,1988-3
injection,0.1,1,100.0,5937,933,1988-5
injection,0.1,1,100.0,20193,1113,1988-7
injection,0.1,1,100.0,11717,1261,1988-8
injection,0.1,1,100.0,11453,1458,1988-9
injection,0.1,1,100.0,4989,1918,1988-10
