type,lines,run,accuracy,thinking_length,non_thinking_length,problem_id
pseudo_thinking,1,1,100.0,5100,0,1983-1
pseudo_thinking,1,1,100.0,10167,0,1983-2
pseudo_thinking,1,1,100.0,3838,0,1983-3
pseudo_thinking,1,1,100.0,19922,0,1983-4
pseudo_thinking,1,1,100.0,7756,0,1983-5
pseudo_thinking,1,1,100.0,16221,0,1983-6
pseudo_thinking,1,1,100.0,19859,0,1983-7
pseudo_thinking,1,1,0.0,12630,0,1983-8
pseudo_thinking,1,1,100.0,5776,0,1983-9
pseudo_thinking,1,1,100.0,39492,0,1983-10
pseudo_thinking,1,1,0.0,50678,0,1983-11
pseudo_thinking,1,1,100.0,15288,0,1983-12
pseudo_thinking,1,1,100.0,15097,0,1983-13
pseudo_thinking,1,1,100.0,27589,0,1983-14
pseudo_thinking,1,1,100.0,40104,0,1983-15
pseudo_thinking,1,1,100.0,6981,0,1984-1
pseudo_thinking,1,1,100.0,6036,0,1984-2
pseudo_thinking,1,1,100.0,10311,0,1984-3
pseudo_thinking,1,1,100.0,7141,0,1984-4
pseudo_thinking,1,1,100.0,5793,0,1984-5
pseudo_thinking,1,1,100.0,25169,0,1984-6
pseudo_thinking,1,1,0.0,30309,0,1984-7
pseudo_thinking,1,1,100.0,5208,0,1984-8
pseudo_thinking,1,1,100.0,16842,0,1984-9
pseudo_thinking,1,1,100.0,37460,0,1984-10
pseudo_thinking,1,1,100.0,5008,0,1984-11
pseudo_thinking,1,1,100.0,21500,0,1984-12
pseudo_thinking,1,1,0.0,4087,0,1984-13
pseudo_thinking,1,1,100.0,10951,0,1984-14
pseudo_thinking,1,1,100.0,10719,0,1985-1
pseudo_thinking,1,1,100.0,4311,0,1985-2
pseudo_thinking,1,1,100.0,4193,0,1985-3
pseudo_thinking,1,1,0.0,36565,0,1985-4
pseudo_thinking,1,1,100.0,7537,0,1985-5
pseudo_thinking,1,1,0.0,51614,0,1985-6
pseudo_thinking,1,1,100.0,4776,0,1985-7
pseudo_thinking,1,1,100.0,12160,0,1985-8
pseudo_thinking,1,1,100.0,18858,0,1985-9
pseudo_thinking,1,1,0.0,24277,0,1985-10
pseudo_thinking,1,1,100.0,11017,0,1985-11
pseudo_thinking,1,1,100.0,9045,0,1985-12
pseudo_thinking,1,1,100.0,6593,0,1985-13
pseudo_thinking,1,1,100.0,22108,0,1985-14
pseudo_thinking,1,1,0.0,55847,0,1985-15
pseudo_thinking,1,1,100.0,2868,0,1986-1
pseudo_thinking,1,1,0.0,37235,0,1986-2
